DATE,Median Income,State
2015-01-01,68037,vermont
2016-01-01,68687,vermont
2017-01-01,70385,vermont
2018-01-01,75599,vermont
2019-01-01,78746,vermont
2000-01-01,71135,wisconsin
2001-01-01,69562,wisconsin
2002-01-01,69324,wisconsin
2003-01-01,68325,wisconsin
2004-01-01,65755,wisconsin
2005-01-01,62096,wisconsin
2006-01-01,69632,wisconsin
2007-01-01,67168,wisconsin
2008-01-01,64587,wisconsin
2009-01-01,64859,wisconsin
2010-01-01,62703,wisconsin
2011-01-01,62848,wisconsin
2012-01-01,62751,wisconsin
2013-01-01,60259,wisconsin
2014-01-01,66534,wisconsin
2015-01-01,63384,wisconsin
2016-01-01,67535,wisconsin
2017-01-01,70164,wisconsin
2018-01-01,67574,wisconsin
2019-01-01,71380,wisconsin
2000-01-01,61303,florida
2001-01-01,55871,florida
2002-01-01,57425,florida
2003-01-01,57549,florida
2004-01-01,58283,florida
2005-01-01,59787,florida
2006-01-01,61528,florida
2007-01-01,59986,florida
2008-01-01,56585,florida
2009-01-01,57763,florida
2010-01-01,54876,florida
2011-01-01,54454,florida
2012-01-01,54466,florida
2013-01-01,56538,florida
2014-01-01,52856,florida
2015-01-01,55836,florida
2016-01-01,57779,florida
2017-01-01,58674,florida
2018-01-01,58959,florida
2019-01-01,61856,florida
2000-01-01,71804,michigan
2001-01-01,69103,michigan
2002-01-01,64509,michigan
2003-01-01,66483,michigan
2004-01-01,60757,michigan
2005-01-01,63880,michigan
2006-01-01,65531,michigan
2007-01-01,64670,michigan
2008-01-01,62806,michigan
2009-01-01,58222,michigan
2010-01-01,57628,michigan
2011-01-01,59010,michigan
2012-01-01,59129,michigan
2013-01-01,65898,michigan
2014-01-01,59575,michigan
2015-01-01,61986,michigan
2016-01-01,64458,michigan
2017-01-01,62342,michigan
2018-01-01,65222,michigan
2019-01-01,67951,michigan
