DATE,Median Income,State
2019-01-01,76149,newyork
2000-01-01,75020,utah
2001-01-01,72624,utah
2002-01-01,72281,utah
2003-01-01,72764,utah
2004-01-01,73144,utah
2005-01-01,76230,utah
2006-01-01,73587,utah
2007-01-01,70118,utah
2008-01-01,78888,utah
2009-01-01,74042,utah
2010-01-01,70611,utah
2011-01-01,66995,utah
2012-01-01,68972,utah
2013-01-01,71118,utah
2014-01-01,72609,utah
2015-01-01,75772,utah
2016-01-01,76188,utah
2017-01-01,77135,utah
2018-01-01,83152,utah
2019-01-01,89574,utah
2000-01-01,64671,iowa
2001-01-01,62858,iowa
2002-01-01,61993,iowa
2003-01-01,61111,iowa
2004-01-01,62389,iowa
2005-01-01,64669,iowa
2006-01-01,64829,iowa
2007-01-01,64065,iowa
2008-01-01,63252,iowa
2009-01-01,64206,iowa
2010-01-01,61041,iowa
2011-01-01,60627,iowa
2012-01-01,63180,iowa
2013-01-01,70080,iowa
2014-01-01,66225,iowa
2015-01-01,69593,iowa
2016-01-01,66719,iowa
2017-01-01,70148,iowa
2018-01-01,74144,iowa
2019-01-01,70002,iowa
2000-01-01,64473,indiana
2001-01-01,61942,indiana
2002-01-01,61990,indiana
2003-01-01,62648,indiana
2004-01-01,60862,indiana
2005-01-01,59018,indiana
2006-01-01,61166,indiana
2007-01-01,62159,indiana
2008-01-01,58683,indiana
2009-01-01,56084,indiana
2010-01-01,57458,indiana
2011-01-01,53657,indiana
2012-01-01,54569,indiana
2013-01-01,57613,indiana
2014-01-01,55056,indiana
2015-01-01,59447,indiana
2016-01-01,63332,indiana
2017-01-01,64953,indiana
2018-01-01,64621,indiana
2019-01-01,70679,indiana
2000-01-01,79524,newjersey
2001-01-01,79418,newjersey
2002-01-01,82410,newjersey
2003-01-01,82761,newjersey
2004-01-01,79476,newjersey
2005-01-01,88128,newjersey
2006-01-01,91680,newjersey
2007-01-01,79260,newjersey
2008-01-01,82381,newjersey
2009-01-01,81999,newjersey
2010-01-01,78415,newjersey
2011-01-01,75258,newjersey
2012-01-01,78845,newjersey
2013-01-01,74271,newjersey
2014-01-01,74740,newjersey
2015-01-01,78173,newjersey
2016-01-01,77303,newjersey
2017-01-01,78739,newjersey
2018-01-01,80033,newjersey
2019-01-01,92969,newjersey
2000-01-01,81324,hawaii
2001-01-01,72773,hawaii
2002-01-01,71438,hawaii
2003-01-01,76542,hawaii
2004-01-01,80867,hawaii
2005-01-01,82868,hawaii
2006-01-01,81457,hawaii
2007-01-01,83863,hawaii
2008-01-01,77606,hawaii
2009-01-01,70444,hawaii
2010-01-01,74145,hawaii
2011-01-01,71285,hawaii
2012-01-01,66515,hawaii
2013-01-01,74831,hawaii
2014-01-01,81591,hawaii
2015-01-01,73778,hawaii
2016-01-01,81440,hawaii
2017-01-01,81346,hawaii
2018-01-01,86433,hawaii
2019-01-01,93265,hawaii
2000-01-01,51168,oklahoma
2001-01-01,54625,oklahoma
2002-01-01,55060,oklahoma
2003-01-01,53016,oklahoma
2004-01-01,56959,oklahoma
2005-01-01,52354,oklahoma
2006-01-01,52317,oklahoma
2007-01-01,56609,oklahoma
2008-01-01,58167,oklahoma
2009-01-01,58075,oklahoma
2010-01-01,53677,oklahoma
2011-01-01,58498,oklahoma
2012-01-01,57228,oklahoma
2013-01-01,53777,oklahoma
2014-01-01,54069,oklahoma
2015-01-01,53837,oklahoma
2016-01-01,57516,oklahoma
2017-01-01,57343,oklahoma
2018-01-01,58732,oklahoma
2019-01-01,62946,oklahoma
2000-01-01,86040,maryland
2001-01-01,82116,maryland
2002-01-01,85187,maryland
2003-01-01,77251,maryland
2004-01-01,82105,maryland
2005-01-01,84156,maryland
2006-01-01,85765,maryland
2007-01-01,85970,maryland
2008-01-01,80369,maryland
2009-01-01,81251,maryland
2010-01-01,79951,maryland
