State,Education Budget,Unemployment Rate,Population Estimate,SNAPS household_participants,SNAPS individual_participants,SNAPS cost,SNAPS cost_per_person,SNAPS cost_per_household,Median Income,Year,Unnamed: 0,U.S. Rank,% Change,Job Growth (In Thousands),# of Jobs (In Thousands)
Montana,473923372.28,4.7,1021869,59097.0,124906.0833,176169543,117.5347,248.4186,51102,2014,25,34.0,0.93,4.1,442.7
Nebraska,1039436981.86,3.3,1879321,76918.5833,173530.3333,238904358,114.7275,258.8282,65148,2014,26,19.0,1.63,15.7,981.4
Nevada,902732832.37,7.8,2817628,188739.0,383621.8333,536711313,116.5886,236.9724,49875,2014,27,1.0,3.43,39.7,1198.1
New Hampshire,1210270110.25,4.3,1333341,53559.0,111701.3333,140718624,104.9813,218.9464,84081,2014,28,29.0,1.12,7.0,634.7
New Jersey,3356473984.23,6.6,8864525,439694.5,883434.4167,1290688313,121.7491,244.6184,74740,2014,29,48.0,0.18,6.8,3890.7
New Mexico,964642121.36,6.5,2089568,195258.3333,431493.5,629160453,121.5083,268.5163,53482,2014,30,43.0,0.45,3.6,809.3
New York,10508839360.03,6.3,19651049,1698559.25,3122878.833,5200758093,138.7811,255.1554,62216,2014,31,18.0,1.64,144.4,8972.7
North Carolina,4317675175.31,6.1,9932887,761104.5833,1575675.75,2383571501,126.0608,260.9772,53594,2014,32,20.0,1.62,65.2,4089.6
North Dakota,414318107.48,2.8,737401,25011.1667,53753.1667,75765024,117.4582,252.4373,69570,2014,33,2.0,3.18,13.8,448.3
Ohio,6152376231.4,5.7,11602700,851972.25,1752135.167,2582757967,122.8386,252.6254,56870,2014,34,24.0,1.29,66.9,5238.9
Oklahoma,1743623228.43,4.5,3878187,279605.5,608492.3333,865049765,118.469,257.8185,54069,2014,35,32.0,1.07,17.4,1643.7
Oregon,2283322909.44,6.9,3963244,448855.4167,802190.0833,1161871005,120.6978,215.71,67445,2014,36,6.0,2.8,46.2,1698.8
Pennsylvania,7320042265.24,5.8,12788313,889725.1667,1796154.333,2573657445,119.4059,241.0536,63204,2014,37,46.0,0.25,14.0,5716.7
Rhode Island,684170147.87,7.7,1055936,101002.25,178517.8333,279843287,130.6327,230.8887,67168,2014,38,31.0,1.07,5.0,470.3
South Carolina,2293325822.95,6.4,4823617,395208.5,834511.0,1235696260,123.3952,260.5579,51469,2014,39,8.0,2.7,50.7,1928.9
South Dakota,628689491.52,3.4,849129,44038.9167,100937.9167,148938276,122.9619,281.8308,60776,2014,40,25.0,1.27,5.2,413.9
Tennessee,3124759155.18,6.7,6541223,650250.8333,1312505.333,1951918832,123.9309,250.1495,43716,2014,41,13.0,2.11,57.8,2794.6
Texas,11254325646.51,5.1,26964333,1607669.333,3852674.917,5330650619,115.3019,276.3136,61717,2014,42,10.0,2.68,299.1,11445.7
Utah,1705293430.03,3.8,2936879,90570.0833,229911.3333,316671764,114.7804,291.369,72609,2014,43,9.0,2.7,34.4,1308.8
Vermont,394996828.09,4.1,625214,48574.6667,92999.6667,130324476,116.7786,223.581,69545,2014,44,37.0,0.72,2.2,309.4
Virginia,5108238381.82,5.2,8310993,443606.5833,918902.0833,1303281631,118.1919,244.8269,75785,2014,45,49.0,-0.11,-4.3,3736.9
Washington,2525362924.23,6.2,7054655,585104.5,1095551.083,1547545882,117.7144,220.4088,59068,2014,46,11.0,2.45,71.9,3010.5
West Virginia,1325717807.02,6.5,1849489,176028.6667,362500.8333,476134200,109.4559,225.4056,45309,2014,47,50.0,-0.72,-5.2,717.1
Wisconsin,2737880765.99,5.5,5751525,420833.0833,841532.8333,1112980884,110.2137,220.3924,66534,2014,48,28.0,1.16,32.1,2791.3
Wyoming,239440159.1,4.3,582531,15249.4167,35871.0,49272569,114.467,269.2593,63796,2014,49,35.0,0.91,2.6,289.6
