State,Education Budget,Unemployment Rate,Population Estimate,SNAPS household_participants,SNAPS individual_participants,SNAPS cost,SNAPS cost_per_person,SNAPS cost_per_household,DATE,Median Income,Year,Unnamed: 0,U.S. Rank,% Change,Job Growth (In Thousands),# of Jobs (In Thousands)
Indiana,1831992075.0,5.1,6127760,171330.1667,410886.8333,408077163,82.7635,198.4848,2002-01-01,61990,2002,13,40.0,-2.37,-69.8,2870.9
Iowa,1050102995.0,4.0,2931997,60549.1667,140729.25,128762369,76.2471,177.2146,2002-01-01,61993,2002,14,33.0,-1.74,-25.3,1429.8
Kansas,831895259.0,5.1,2702162,62896.3333,140403.25,113271938,67.2301,150.0776,2002-01-01,64364,2002,15,21.0,-1.16,-15.6,1332.0
Kentucky,1097466524.0,5.6,4068132,187471.1667,450102.4167,410097309,75.9267,182.2935,2002-01-01,55519,2002,16,29.0,-1.44,-25.8,1764.4
Louisiana,1454436369.0,6.1,4477875,224450.4167,588458.3333,587074354,83.1373,217.9674,2002-01-01,34008,2002,17,32.0,-1.67,-32.2,1893.2
Maine,371144771.0,4.4,1285692,56375.9167,111147.3333,97446679,73.0612,144.043,2002-01-01,36853,2002,18,11.0,-0.62,-3.7,588.9
Maryland,1248475008.0,4.4,5374691,104795.0833,228329.4167,215189301,78.5376,171.1191,2002-01-01,85187,2002,19,4.0,0.46,11.2,2465.5
Massachusetts,2158368561.0,5.3,6397634,114858.5833,242541.6667,209235751,71.89,151.8068,2002-01-01,75292,2002,20,50.0,-2.93,-97.9,3247.5
Michigan,2853382957.0,6.2,9991120,327852.9167,750037.0833,644577181,71.6161,163.838,2002-01-01,64509,2002,21,45.0,-2.67,-121.9,4438.5
Minnesota,1491617009.0,4.4,4982796,101819.6667,216959.75,200648921,77.0684,164.2192,2002-01-01,82491,2002,22,34.0,-1.79,-47.7,2615.4
Mississippi,914917630.0,5.8,2852994,126388.5,324852.1667,297924799,76.4257,196.4345,2002-01-01,46639,2002,23,16.0,-0.96,-10.9,1121.6
Missouri,1825224666.0,3.6,5641142,220638.8333,515005.9167,476894198,77.1665,180.1187,2002-01-01,64601,2002,24,25.0,-1.3,-35.6,2698.9
Montana,337784625.0,4.6,906961,26864.6667,63347.3333,57920256,76.194,179.6668,2002-01-01,34835,2002,25,6.0,0.1,0.4,385.3
Nebraska,561372404.0,5.5,1719836,37570.75,88460.5,74384109,70.0728,164.9867,2002-01-01,64631,2002,26,13.0,-0.79,-7.2,902.0
Nevada,315850518.0,5.5,2098399,43556.0833,97035.4167,95508198,82.0218,182.7303,2002-01-01,44958,2002,27,27.0,-1.37,-14.4,1037.2
New Hampshire,379199766.0,4.7,1255517,20451.8333,41052.8333,34656997,70.3504,141.2139,2002-01-01,83547,2002,28,36.0,-2.08,-13.0,610.6
New Jersey,1788556522.0,5.8,8492671,147076.5833,319799.0833,314258247,81.8895,178.0582,2002-01-01,82410,2002,29,5.0,0.24,9.4,3973.3
New Mexico,609110771.0,5.4,1831690,65875.4167,170457.0,154364768,75.4661,195.2736,2002-01-01,53548,2002,30,3.0,0.75,5.7,760.7
New York,6856280172.0,6.1,19082838,687604.4167,1348676.75,1478662757,91.365,179.2046,2002-01-01,63378,2002,31,43.0,-2.46,-211.3,8376.7
North Carolina,1942521331.0,6.7,8210122,244907.3333,574368.5,536423418,77.828,182.526,2002-01-01,55146,2002,32,38.0,-2.21,-86.5,3824.0
North Dakota,293462900.0,4.0,639062,15898.5,36781.4167,31374657,71.0836,164.4529,2002-01-01,54670,2002,33,12.0,-0.77,-2.5,324.0
Ohio,3346374854.0,5.7,11387404,330843.75,734679.4167,726310158,82.384,182.9439,2002-01-01,64462,2002,34,41.0,-2.43,-134.2,5397.8
Oklahoma,1129165230.0,4.5,3467100,129934.3333,316683.9167,288441518,75.9015,184.9919,2002-01-01,55060,2002,35,22.0,-1.25,-19.0,1500.5
Oregon,1045914343.0,7.5,3467937,177291.0,359138.4167,319462072,74.127,150.159,2002-01-01,63130,2002,36,42.0,-2.44,-39.2,1568.5
Pennsylvania,4218203051.0,5.7,12298970,350838.0,766615.1667,700337384,76.1287,166.3487,2002-01-01,64181,2002,37,19.0,-1.11,-63.1,5615.4
Rhode Island,426601401.0,5.1,1057142,33369.9167,71933.1667,64256422,74.44,160.4649,2002-01-01,64059,2002,38,7.0,-0.29,-1.4,474.5
South Carolina,1086611670.0,6.0,4064995,154584.25,379310.0833,351661564,77.259,189.5738,2002-01-01,57104,2002,39,39.0,-2.27,-41.4,1783.9
South Dakota,342344861.0,3.1,757972,18474.1667,47662.5,45323818,79.2444,204.4468,2002-01-01,57197,2002,40,18.0,-1.1,-4.1,367.3
Tennessee,1514613174.0,5.1,5750789,255899.5833,598012.0833,551508090,76.853,179.5978,2002-01-01,37030,2002,41,37.0,-2.14,-57.8,2646.7
Texas,5638643478.0,6.3,21319622,570336.8333,1554428.333,1522294908,81.6107,222.4263,2002-01-01,60634,2002,42,28.0,-1.38,-132.0,9447.7
Utah,594855398.0,6.1,2283715,36004.9167,89898.5833,79708928,73.8878,184.4862,2002-01-01,72281,2002,43,26.0,-1.35,-14.6,1065.7
Vermont,276976033.0,3.7,612223,19809.4167,39914.1667,34252771,71.5134,144.093,2002-01-01,64938,2002,44,15.0,-0.96,-2.9,300.7
Virginia,1772711389.0,4.1,7198362,157702.8333,352172.3333,305463503,72.2808,161.413,2002-01-01,74954,2002,45,20.0,-1.12,-39.5,3471.7
Washington,1501299011.0,7.3,5985722,163312.9167,350372.8333,317651773,75.5509,162.0875,2002-01-01,45183,2002,46,49.0,-2.87,-78.4,2653.2
West Virginia,593509323.0,6.1,1801481,100359.1667,235735.5,198011265,69.9977,164.4188,2002-01-01,44339,2002,47,9.0,-0.42,-2.9,695.1
Wisconsin,1357291868.0,5.5,5406835,105746.6667,262309.6667,197330085,62.6899,155.5054,2002-01-01,69324,2002,48,35.0,-1.91,-53.2,2734.1
Wyoming,182179355.0,4.2,494657,9545.0,23529.9167,21538153,76.2793,188.0404,2002-01-01,60051,2002,49,2.0,1.39,3.3,240.4
