State,Education Budget,Unemployment Rate,Population Estimate,SNAPS household_participants,SNAPS individual_participants,SNAPS cost,SNAPS cost_per_person,SNAPS cost_per_household,Median Income,Year,Unnamed: 0,U.S. Rank,% Change,Job Growth (In Thousands),# of Jobs (In Thousands)
Massachusetts,3153444001.0,5.3,6431559,266429.8333,505781.75,586587498,96.647,183.4715,76091,2008,20,13.0,1.11,36.1,3280.8
Michigan,4795022745.0,8.4,10001284,590929.6667,1256372.5,1506032208,99.8929,212.3818,62806,2008,21,49.0,-1.74,-73.6,4161.8
Minnesota,2973502580.0,5.4,5207203,140427.0,293928.0833,329569307,93.4382,195.5757,69286,2008,22,29.0,0.26,7.2,2726.8
Mississippi,1302401255.0,6.9,2928350,188498.1667,447181.3333,496847694,92.5888,219.6519,45975,2008,23,19.0,0.8,9.2,1159.3
Missouri,2659692755.0,3.3,5887612,312475.6667,701304.4167,810471619,96.3053,216.1426,58075,2008,24,41.0,-0.07,-1.9,2797.0
Montana,390295347.3,4.5,964706,35494.4167,80407.0833,94225210,97.6543,221.2207,42900,2008,25,18.0,0.8,3.5,439.2
Nebraska,811008585.7,6.1,1783440,52081.5,120808.9167,140752738,97.0905,225.2123,63991,2008,26,8.0,1.57,14.9,961.2
Nevada,604407231.6,6.7,2601072,67380.25,144494.1667,169714444,97.8785,209.8964,54744,2008,27,47.0,-1.18,-15.2,1275.6
New Hampshire,505989489.0,3.8,1312540,31244.0833,63582.8333,71404026,93.584,190.4468,83478,2008,28,22.0,0.55,3.5,640.5
New Jersey,2569965494.0,5.5,8677885,210867.4167,437860.25,532944902,101.4298,210.6161,82381,2008,29,26.0,0.4,16.3,4042.7
New Mexico,784943743.4,4.2,1990070,95769.0,239958.6667,269188961,93.4845,234.2346,53110,2008,30,21.0,0.59,5.0,846.6
New York,9170530970.0,5.4,19132335,1036676.083,1952990.667,2572842848,109.7822,206.8183,63655,2008,31,14.0,1.06,91.5,8704.7
North Carolina,2987459791.0,6.3,9118037,419127.0,946978.0833,1104399962,97.1863,219.5834,54155,2008,32,15.0,0.94,38.6,4150.2
North Dakota,347491309.7,3.2,652822,21824.6667,48411.8333,59266579,102.0181,226.2981,62608,2008,33,3.0,2.55,9.0,361.9
Ohio,4977033577.0,6.5,11500468,526799.5,1150927.583,1494661229,108.2215,236.4374,59205,2008,34,46.0,-0.8,-42.9,5324.9
Oklahoma,1460048450.0,3.8,3634349,176482.6667,419037.9167,491362648,97.7164,232.0165,58167,2008,35,6.0,1.74,27.6,1618.2
Oregon,1570400632.0,6.4,3722417,243256.5,469315.1667,542197277,96.2745,185.7426,65252,2008,36,34.0,0.17,2.9,1723.5
Pennsylvania,5782155092.0,5.4,12563937,558938.9167,1187822.333,1386964117,97.3044,206.7853,64842,2008,37,28.0,0.33,18.8,5761.4
Rhode Island,672191792.6,7.8,1057315,41547.5833,84867.8333,107719391,105.7717,216.0563,67161,2008,38,48.0,-1.6,-7.8,480.9
South Carolina,1594238879.0,6.9,4444110,255702.3333,589762.8333,706792219,99.8696,230.3434,53177,2008,39,30.0,0.24,4.6,1942.9
South Dakota,416833841.0,3.0,791623,26189.25,62945.25,78001007,103.2657,248.1966,65091,2008,40,5.0,1.79,7.1,403.4
Tennessee,2291867545.0,6.4,6175727,410458.0833,911253.4167,1114791337,101.9467,226.3307,39702,2008,41,31.0,0.21,5.8,2792.5
Texas,8419664869.0,4.9,23831983,994785.8333,2532046.917,3068232722,100.98,257.0262,58645,2008,42,2.0,2.65,273.6,10616.3
Utah,851623835.1,3.4,2597746,53715.4167,134180.1667,150960595,93.7549,234.1981,78888,2008,43,11.0,1.18,14.6,1253.1
Vermont,392882307.7,4.8,623481,27642.1667,55846.6667,62169303,92.7679,187.4229,63964,2008,44,40.0,-0.06,-0.2,308.3
Virginia,2930408743.0,4.0,7751000,245591.6667,545079.3333,610021737,93.2619,206.9905,78192,2008,45,27.0,0.35,13.2,3752.3
Washington,1960404300.0,5.3,6461587,292514.75,581001.4167,680799184,97.6474,193.9501,56631,2008,46,4.0,1.96,57.4,2984.8
West Virginia,951378317.5,4.3,1834052,124182.75,276800.0833,304122744,91.5591,204.0828,47928,2008,47,20.0,0.63,4.5,720.8
Wisconsin,1995660623.0,4.7,5610775,180791.8333,422781.0,430028455,84.7619,198.2153,64587,2008,48,32.0,0.2,5.6,2827.4
Wyoming,224783405.1,3.1,534876,9563.8333,22607.8333,26389959,97.2744,229.9458,67283,2008,49,1.0,3.52,9.9,291.0
